ID;Position;ParentID;Type;Key;Title;Description;ReleasePolicy;Datatype;Unit;Decimals;Default
97;;77;TopicGroup;;Immigratie en emigratie;"De emigratie is weergegeven inclusief de administratieve correcties. Het migratieoverschot is daarom ook inclusief de administratieve correcties.

Trendbreuk buitenlandse migratiecijfers en saldo overige correcties:
Door een verbetering in het productieproces vindt er een kleine verschuiving plaats in de cijfers van de buitenlandse migratie.
Met ingang van 2010 zijn de volgende wijzigingen doorgevoerd:
- eerder gemiste berichten worden nu wel meegeteld;
- administratieve opnemingen die voorafgegaan worden door emigratie worden nu beschouwd als immigratie;
- administratieve afvoeringen die gevolgd worden door immigratie worden nu beschouwd als emigratie.
Door de verbetering in het productieproces is het saldo overige correcties sterk verminderd vanaf 2010.

";;;;;
98;75;97;Topic;Immigratie_74;Immigratie;Vestiging in Nederland vanuit het buitenland.;;Double;aantal;0;Impossible
99;76;97;Topic;Emigratie_75;Emigratie;"Emigratie inclusief administratieve correcties.
Vertrek van personen naar het buitenland plus de administratief afgevoerde personen uit de gemeentelijke bevolkingsregisters min de administratief opgenomen personen in de gemeentelijke bevolkingsregisters.
Een administratief afgevoerde persoon betreft verwijdering van een persoon uit de bevolkingsregisters van een gemeente nadat de gemeente heeft vastgesteld dat de verblijfplaats van deze persoon niet bekend is, deze persoon niet bereikbaar is en waarschijnlijk geen inwoner
meer is van een Nederlandse gemeente. Een administratieve afvoering is meestal het gevolg van het vertrek van een persoon naar het buitenland zonder dat deze de gemeente hiervan op de hoogte heeft gesteld.
Een administratief opgenomen persoon betreft opneming van een persoon in de bevolkingsregisters van een gemeente op verzoek van de betrokkene. 
Deze opneming is niet het gevolg van geboorte, immigratie of vestiging van die persoon vanuit een andere gemeente in Nederland.
Een administratieve opneming is meestal een hervestiging van een persoon die eerder administratief is afgevoerd en die verklaart nooit uit Nederland te zijn weggeweest.";;Double;aantal;0;Impossible
100;77;97;Topic;Migratiesaldo_76;Migratiesaldo;"Personen die zich in Nederland vestigen min inwoners die Nederland verlaten om zich buiten Nederland te vestigen inclusief het saldo van de administratieve correcties (administratieve opnemingen min administratieve afvoeringen).

Administratieve opneming:
Opneming van een persoon in de bevolkingsregisters van een gemeente op verzoek van de betrokkene. Deze opneming is niet het gevolg van geboorte, immigratie of vestiging van die persoon vanuit een andere gemeente in Nederland. Een administratieve opneming is meestal een hervestiging van een persoon die eerder administratief is afgevoerd en die verklaart nooit uit Nederland te zijn weggeweest.

Administratieve afvoering:
Verwijdering van een persoon uit de bevolkingsregisters van een gemeente nadat de gemeente heeft vastgesteld dat de verblijfplaats van deze persoon niet bekend is, deze persoon niet bereikbaar is en waarschijnlijk geen inwoner meer is van een Nederlandse gemeente. Een administratieve afvoering is meestal het gevolg van het vertrek van een persoon naar het buitenland zonder dat deze de gemeente hiervan op de hoogte heeft gesteld.";;Double;aantal;0;Impossible
101;78;97;Topic;MigratiesaldoRelatief_77;Migratiesaldo, relatief;"Migratiesaldo per duizend van de gemiddelde bevolking in het waarnemingsjaar.

Migratiesaldo:
Personen die zich in Nederland vestigen min inwoners die Nederland verlaten om zich buiten Nederland te vestigen.";;Double;per 1 000 inwoners;1;Impossible
102;;77;TopicGroup;;Bevolkingsgroei;;;;;;
103;79;102;Topic;InwonersOp31December_78;Inwoners op 31 december;De geregistreerde bevolking van Nederland op 1 januari plus de bevolkingsgroei over het jaar inclusief het saldo van administratieve correcties en overige correcties.;;Double;aantal;0;Impossible
104;80;102;Topic;Bevolkingsgroei_79;Bevolkingsgroei;Het geboorteoverschot plus het vestigingsoverschot (binnenlands migratieoverschot en migratieoverschot) plus het saldo van de administratieve correcties en de overige correcties.;;Double;aantal;0;Impossible
105;81;102;Topic;BevolkingsgroeiRelatief_80;Bevolkingsgroei, relatief;Bevolkingsgroei per duizend van de beginbevolking op 1 januari aanwezig in de periode waarin de desbetreffende mutaties (geboorte, overlijdensgevallen en dergelijke) plaatsvonden;;Double;per 1 000 inwoners;1;Impossible
106;82;102;Topic;GemiddeldAantalInwoners_81;Gemiddeld aantal inwoners;De helft van de geregistreerde bevolking van Nederland op 1 januari plus de helft van de geregistreerde bevolking van Nederland op 31 december.;;Double;aantal;1;Impossible
107;;2;TopicGroup;;Particuliere huishoudens;"Particuliere huishoudens bestaan uit één of meer personen die samen een woonruimte bewonen en zichzelf, dus niet-bedrijfsmatig, voorzien in de dagelijkse levensbehoeften.

Trendbreuk
Door de verbeterde waarneming van personen in institutionele huishoudens treedt vanaf 2014 een trendbreuk op in de ontwikkeling van het aantal eenpersoonshuishoudens/alleenstaanden. Circa 35 duizend personen die eerst voornamelijk als alleenstaanden getypeerd waren, verschuiven nu naar de institutionele huishoudens. Het aantal alleenstaanden steeg daardoor van 2013 op 2014 met maar duizend personen. Van 2012 op 2013 was die stijging nog 41 duizend personen. Ook de totale stijging van het aantal huishoudens liep als gevolg hiervan terug van 57 duizend van 2012 op 2013 naar 21 duizend van 2013 op 2014.
Vanaf 2011 is er voor de samenstelling van huishoudensgegevens gebruik gemaakt van een nieuwe productiemethode. In deze nieuwe methode worden voor het bepalen van de huishoudenssamenstelling naast de gegevens uit het gemeentelijke bevolkingsregister ook belastingdienstgegevens over samenwonende paren gebruikt. De uitkomsten op basis van de nieuwe methode sluiten goed aan op de voorgaande uitkomsten, maar er treden vanaf 2011 wel kleine verschuivingen op in het aantal huishoudens naar samenstelling. 

";;;;;
108;;107;TopicGroup;;Particuliere huishoudens;;;;;;
109;83;108;Topic;TotaalAantalParticuliereHuishoudens_82;Totaal aantal particuliere huishoudens;"Particuliere huishoudens bestaan uit één of meer personen die alleen of samen in een woonruimte wonen en zelf in hun dagelijkse behoeften voorzien.
Naast eenpersoonshuishoudens onderscheiden we meerpersoonshuishoudens (niet-gehuwde paren met en zonder kinderen, echtparen met en zonder kinderen, eenouderhuishoudens en overige huishoudens).";;Double;aantal;0;Impossible
110;84;108;Topic;Eenpersoonshuishoudens_83;Eenpersoonshuishoudens;Particulier huishouden bestaande uit één persoon.;;Double;aantal;0;Impossible
111;85;108;Topic;HuishoudensZonderKinderen_84;Huishoudens zonder kinderen;"Meerpersoonshuishoudens zonder thuiswonende kinderen.

Thuiswonend kind:
Persoon ongeacht leeftijd of burgerlijke staat die een kind-ouder relatie heeft met één of twee tot het huishouden behorende ouders. 
Onder thuiswonende kinderen worden ook begrepen adoptie- en stiefkinderen, maar geen pleegkinderen.";;Double;aantal;0;Impossible
112;86;108;Topic;HuishoudensMetKinderen_85;Huishoudens met kinderen;"Meerpersoonshuishoudens met thuiswonende kinderen.

Thuiswonend kind:
Persoon ongeacht leeftijd of burgerlijke staat die een kind-ouder relatie heeft met één of twee tot het huishouden behorende ouders. 
Onder thuiswonende kinderen worden ook begrepen adoptie- en stiefkinderen, maar geen pleegkinderen.
 
";;Double;aantal;0;Impossible
113;;107;TopicGroup;;Particuliere huishoudens, relatief;;;;;;
114;87;113;Topic;Eenpersoonshuishoudens_86;Eenpersoonshuishoudens;Particuliere huishoudens bestaande uit één persoon, als percentage van het totaal aantal particuliere huishoudens.;;Double;%;1;Impossible
115;88;113;Topic;HuishoudensZonderKinderen_87;Huishoudens zonder kinderen;"Meerpersoonshuishoudens zonder thuiswonende kinderen, als percentage van het totaal aantal particuliere huishoudens.

Thuiswonend kind:
Persoon ongeacht leeftijd of burgerlijke staat die een kind-ouder relatie heeft met één of twee tot het huishouden behorende ouders. 
Onder thuiswonende kinderen worden ook begrepen adoptie- en stiefkinderen, maar geen pleegkinderen.";;Double;%;1;Impossible
116;89;113;Topic;HuishoudensMetKinderen_88;Huishoudens met kinderen;"Meerpersoonshuishoudens met thuiswonende kinderen, als percentage van het totaal aantal particuliere huishoudens.

Thuiswonend kind:
Persoon ongeacht leeftijd of burgerlijke staat die een kind-ouder relatie heeft met één of twee tot het huishouden behorende ouders. 
Onder thuiswonende kinderen worden ook begrepen adoptie- en stiefkinderen, maar geen pleegkinderen.
 
";;Double;%;1;Impossible
117;90;107;Topic;GemiddeldeHuishoudensgrootte_89;Gemiddelde huishoudensgrootte;Het aantal in particuliere huishoudens levende personen gedeeld door het aantal particuliere huishoudens.;;Double;personen per 1 huishouden;2;Impossible
118;;;TopicGroup;;Bouwen en wonen;;;;;;
119;;118;TopicGroup;;Woningvoorraad;"De gegevens zijn vanaf 2012 gebaseerd op de Basisregistraties Adressen en Gebouwen (BAG).
De woningvoorraadcijfers zijn van 1995 tot en met 2011 gebaseerd op de administratieve woningtelling met peildatum 1-1-1992 en de daarna door de gemeenten aan het CBS gemelde mutaties.

De verandering van de bron van de gegevens (BAG) vanaf 2012 betekent ook een aantal verschillen in definities en classificaties. De belangrijkste zijn:
- Tijdelijke bouwwerken (bouwwerken met een aangeduide instandhoudingtermijn in de verleende bouwvergunning) werden in de woningvoorraadregistratie niet als woonruimte aangemerkt. De BAG kent dit onderscheid niet. Tijdelijke bouwwerken c.q. objecten worden in het vervolg meegeteld in de voorraden.
- Wooneenheden (onzelfstandige woningen), zoals studentenflats, werden in de woningvoorraadregistratie aangemerkt als aparte categorie woonruimten. In de BAG worden ze alleen als woning gezien als ze een eigen adres hebben.
- Recreatiewoningen werden in de woningvoorraadregistratie waargenomen als aparte categorie woonruimten. De recreatiewoningen kunnen in de BAG aangemerkt worden als woning of als niet-woning met een logiesfunctie.
- De bewoningscapaciteit (aantal huisvestingsplaatsen voor permanente bewoning) van bijzondere woongebouwen, zoals verpleeghuizen en gezinsvervangende tehuizen, was in de woningvoorraadregistratie ook een aparte categorie woonruimten. Per adres van het bijzondere woongebouw was de bewoningscapaciteit bekend. In de BAG is informatie over de bewoningscapaciteit niet meer voorhanden. Daarnaast worden bijzondere woongebouwen in de BAG niet altijd aangeduid met een woonfunctie. Net als de recreatiewoningen worden dergelijke objecten dan niet meer meegeteld in de voorraad woningen.
";;;;;
120;91;119;Topic;VoorraadOp1Januari_90;Voorraad op 1 januari;"Het aantal woningen op 1 januari.
Een woning is de kleinste binnen één of meer panden gelegen en voor woondoeleinden geschikte eenheid van gebruik, ontsloten via een eigen toegang vanaf de openbare weg, een erf of een gedeelde verkeersruimte.
Voorbeelden zijn vrijstaande woningen, eengezinswoningen, flat- of portiekwoningen, studentenhuizen.
Alle verblijfsobjecten met minimaal een woonfunctie en eventueel een of meer andere gebruiksfuncties worden als woning aangemerkt.
";;Double;aantal;0;Impossible
121;92;119;Topic;Nieuwbouwwoningen_91;Nieuwbouwwoningen;Het aantal in een bepaald jaar gereedgekomen nieuwbouwwoningen.;;Double;aantal;0;Impossible
122;93;119;Topic;SaldoVermeerderingWoningenRelatief_92;Saldo vermeerdering woningen, relatief;"Saldo vermeerdering woningen per duizend woningen.
Het saldo vermeerdering betreft het verschil tussen het aantal woningen dat aan de voorraad is toegevoegd en het aantal dat aan voorraad is onttrokken.
De berekening van het saldo is inclusief administratieve correcties.
";;Double;per 1 000 woningen;1;Impossible
123;94;119;Topic;Woningdichtheid_93;Woningdichtheid;Totaal aantal woningen per km² land op 1 januari.;;Double;aantal woningen per km²;0;Impossible
124;;119;TopicGroup;;Woningen naar eigendom;"Peildatum: 1 januari van het betreffende jaar.

De afleiding van de eigendomssituatie van woningen vindt als volgt plaats:

De eigendomssituatie wordt afgeleid via koppeling op woning en bewoner tussen de registraties Basisregistratie Adressen en Gebouwen (BAG), Basisregistratie Personen (BRP) en Inkomens Informatie Systeem (IIS). 
In 2012 kon voor 81 procent van de woningvoorraad deze methode voor de eigendomssituatie worden toegepast, in 2015 is dit gestegen naar 93 procent.

Voor de woningen waarbij via deze methode geen eigendom kan worden afgeleid wordt de eigendomssituatie afgeleid via koppeling van de woning aan de Kadasterregistratie
of:
via een door de gemeente toegekend nummer als aanvulling op het Rechtspersonen Samenwerkingsverbanden Informatie Nummer (RSIN)
of:
via het totaal aantal woningen dat een eigenaar met eenzelfde Burgerservicenummer (BSN) of RSIN in zijn bezit heeft.
Als geen van deze methoden kan worden toegepast dan wordt de eigendomssituatie getypeerd als onbekend. 

Tot en met verslagjaar 2011 werd de volgende werkwijze gehanteerd:
Na koppeling van de woningen uit het woningregister met de woningen uit de WOZ-registratie (Wet Onroerende Zaken) is op basis van de WOZ-registratie bepaald of de eigenaar van de woning ook de bewoner was. Voor de woningen waarbij de eigenaar niet de bewoner was, is op basis van gegevens uit de GBA (Gemeentelijke Basisadministratie) gekeken of de woningen door iemand anders bewoond werd. Als dat het geval was, zijn deze woningen aangeduid als huurwoningen.
";;;;;
125;95;124;Topic;Koopwoningen_94;Koopwoningen;Woningen die eigendom zijn van de (toekomstige) bewoner(s) of in gebruik als tweede woning.;;Double;%;1;Impossible
126;96;124;Topic;Huurwoningen_95;Huurwoningen;Woningen die niet bewoond worden door de eigenaar van de woning. Bij woningen waar geen bewoner geregistreerd is, gaat het om woningen waarvan het aannemelijk is dat de woning bestemd is voor de huurmarkt.;;Double;%;1;Impossible
127;97;124;Topic;EigendomOnbekend_96;Eigendom onbekend;Woningen waarvan het eigendom niet afgeleid kon worden op basis van diverse registraties zoals het WOZ-register, Personenregister en het woningbestand Kadaster.;;Double;%;1;Impossible
128;;118;TopicGroup;;Waarde onroerende zaken;"Het CBS verzamelt vanaf 1997 gegevens over de waarde van het onroerend goed op basis van de Wet Waardering Onroerende Zaken (WOZ) die sinds 1 januari 1995 van kracht is. Deze wet verplicht gemeenten alle onroerend zaken (WOZ-objecten), inclusief al het in aanbouw zijnde en leegstaande onroerend goed, binnen de gemeentegrenzen periodiek te taxeren en de aldus vastgestelde WOZ-waarde te gebruiken bij het bepalen van onder andere de gemeentelijke aanslag onroerendezaakbelastingen (OZB).

Het eerste WOZ-tijdvak liep van 1 januari 1997 tot en met 31 december 2000 met als taxatiepeildatum 1 januari 1995. Dit betekent dat gemeenten gedurende de verslagjaren 1997 tot en met 2000 de onroerende zaken hebben getaxeerd naar de waarde op 1 januari 1995. 
De taxatiepeildatum voor de verslagjaren 2001 tot en met 2004 is 1 januari 1999.
De taxatiepeildatum voor de verslagjaren 2005 en 2006 is 1 januari 2003. 
De taxatiepeildatum voor het verslagjaar 2007 is 1 januari 2005. 
De taxatiepeildatum voor het verslagjaar 2008 is 1 januari 2007. 
Vanaf 2008 worden onroerende zaken getaxeerd naar de waarde van 1 januari van het voorgaande jaar.
";;;;;
129;98;128;Topic;Woningen_97;Woningen;"Waarde van de WOZ-objecten woningen.
Tot de woningen behoren die onroerende zaken die in hoofdzaak worden gebruikt voor wonen.
Tot de WOZ-objecten woningen behoren de volgende drie klassen:
1. Woningen dienend tot hoofdverblijf (WOZ-objectcode 10);
Hieronder wordt verstaan onroerende zaken die als één geheel gedurende het gehele jaar worden gebruikt om in te wonen. Dit betreft zelfstandige woningen voor één- of meerpersoonshuishoudens waarin geen bedrijfsmatige activiteiten plaatsvinden of in ieder geval geen aan
het object zichtbare bedrijfsmatige activiteiten.
2. Woningen met praktijkruimte (WOZ-objectcode 11);
Dit zijn onroerende zaken die in hoofdzaak worden gebruikt voor wonen en waarin de bewoner tevens in het kader van een zelfstandig beroep of bedrijf activiteiten verricht.
3. Recreatiewoningen en overige woningen (WOZ-objectcode 12);
- onroerende zaken die gedurende een deel van het jaar worden gebruikt voor woondoeleinden en waarbij het gebruik gedurende een deel van het jaar is beperkt;
- een niet-zelfstandige eenheid, bijvoorbeeld studentenkamers, bejaardentehuizen, zusterflats en kloosters.
- een onroerende zaak die ter beschikking staat aan het wonen.
Bijvoorbeeld een aparte garage of schuur bij een woning. Hiermee wordt bereikt dat het voor de belastingcapaciteit (WOZ-waarde) geen verschil maakt of de garage samen met de woning een onroerend-goed zaak is of dat de garage een afzonderlijke onroerende zaak is.";;Double;mln euro;0;Impossible
130;99;128;Topic;NietWoningen_98;Niet-woningen;"De waarde van WOZ-objecten niet-woningen.
De WOZ-objecten niet-woningen zijn de overige onroerende goederen waarin in hoofdzaak bedrijfsmatige activiteiten worden uitgevoerd.
De niet-woningen worden in vier groepen onderscheiden:
1. Boerderijen (WOZ-objectcode 20);
Dit zijn onroerende zaken waar wonen gecombineerd is met bedrijfsmatige agrarische activiteiten. Bijvoorbeeld akkerbouw-, veeteelt- en tuinbouwbedrijven. Woonboerderijen behoren dus niet tot deze categorie. Woonboerderijen zijn woningen. Ook voormalige boerderijen waarin nu een ander bedrijf wordt uitgeoefend (bijvoorbeeld kantoor of winkel) zijn geen boerderij.
2. Niet-woningen deels in gebruik als woning (WOZ-objectcode 21);
Dit zijn onroerende zaken die in hoofdzaak wordt gebruikt voor andere activiteiten dan wonen.
3. Niet-woningen (WOZ-objectcode 30);
- Dit betreft alle objecten voor bedrijfsmatige activiteiten zoals kantoren, winkels en bedrijfsruimten, maar ook bijzondere gebouwen die een niet bedrijfsmatig gebruik hebben (scholen, ziekenhuizen).
Een object behoort alleen tot deze categorie, wanneer geen enkel deel van het object voor woondoeleinden wordt gebruikt.
- De onroerende zaken waar het wonen als dienst in combinatie met andere functies wordt aangeboden, zoals hotels, pensions, verpleeghuizen en gevangenissen.
4. Terreinen (WOZ-objectcode 40);
Dit zijn onbebouwde onroerende zaken, zoals parken, sportvelden en bouwgrond. Bedrijfsmatig geëxploiteerde cultuurgrond wordt niet bij de waardebepaling van terreinen opgenomen.";;Double;mln euro;0;Impossible
131;100;128;Topic;GemiddeldeWoningwaarde_99;Gemiddelde woningwaarde;Voor de bepaling van de gemiddelde woningwaarde wordt alleen gebruik gemaakt van die WOZ-objecten omschreven als woningen dienend tot hoofdverblijf (WOZ-objectcode 10) en woningen met praktijkruimte (WOZ-objectcode 11) met een waarde groter dan nul euro.;;Double;1 000 euro;0;Impossible
132;;;TopicGroup;;Onderwijs;"Het aantal leerlingen/studenten en geslaagden/afgestudeerden op instellingen waar het onderwijs door de overheid bekostigd is (regulier onderwijs). Deze reeks loopt vanaf het schooljaar 2000/'01.

TELLING ONDERWIJSSOORTEN
Behalve bij het hoger beroepsonderwijs en het wetenschappelijk onderwijs zijn de gegevens over het aantal leerlingen gebaseerd op de jaarlijkse tellingen van het Ministerie van Onderwijs, Cultuur en Wetenschappen (OCW) en het Ministerie van Landbouw, Natuur en Voedselkwaliteit (LNV).
De gegevens over het aantal studenten bij het hoger beroepsonderwijs en het wetenschappelijk onderwijs zijn gebaseerd op uitkomsten van het 'Project één cijfer Hoger Onderwijs'. In dit project werken het CBS, de Informatie Beheer Groep (IB-groep), de HBO-raad, de VSNU (Vereniging van Universiteiten), Cfi (een agentschap van het Ministerie van OCW) en het Ministerie van OCW samen om bij publicaties over het hoger onderwijs van dezelfde bronbestanden gebruik te maken en met uniforme definities en berekeningsmethoden tot een gecoördineerde standtelling te komen. Essentieel is dat genoemde instanties dezelfde afslag van het Centraal Register Inschrijvingen Hoger Onderwijs (CRIHO) hanteren. In onderling overleg is daar een aantal kenmerken aan toegevoegd.

REGIONALE GEGEVENS
Voorheen waren alle regionale gegevens over het onderwijs vermeld per gemeente van de (hoofd)vestiging. Door invoering van het onderwijsnummer is het nu mogelijk de gegevens te verstrekken naar de woongemeente van de leerling of student. Alleen bij het primair onderwijs (basisonderwijs, speciaal basisonderwijs en speciale scholen) zijn de leerlingen nog geteld naar de gemeente van de vestiging van de school.

TELDATUM
De teldatum voor het wetenschappelijk onderwijs is 1 december en voor de overige schoolsoorten 1 oktober. Dat betekent dat de gegevens over bijvoorbeeld het schooljaar 2005/'06 betrekking hebben op de situatie per 1 december 2005 of 1 oktober 2005.

SCHOOL- OF STUDIEJAAR VERSUS STATISTIEKJAAR
Een extra bijkomstigheid is dat in deze tabel een school- of studiejaar vertaald wordt naar een kalenderjaar en dat gemeentelijke herindelingen worden doorgevoerd per 1 januari. Een schooljaar bij het voortgezet of beroepsonderwijs loopt over twee kalenderjaren van 1 augustus tot en met 31 juli en een studiejaar bij het hoger onderwijs loopt over twee kalenderjaren van 1 september tot en met 31 augustus.
In deze tabel staan de onderwijsgegevens bij het jaar waarin het school- of studiejaar begint, dus voor het schooljaar 2005/'06 bij 2005.";;;;;
133;;132;TopicGroup;;Naar schoolgemeente;Een schoolgemeente beschrijft de groep leerlingen die naar school gaat op een vestiging die in de betreffende gemeente dan wel regio staat.;;;;;
134;;133;TopicGroup;;Leerlingen;Het aantal leerlingen op instellingen waar het primair onderwijs (basisonderwijs, speciaal basisonderwijs en speciale scholen) door de overheid bekostigd is (regulier onderwijs) naar gemeente van de vestiging van de school.;;;;;
135;101;134;Topic;Basisonderwijs_100;Basisonderwijs;"Het onderwijs zoals opgenomen in de Wet primair Onderwijs (WPO).
Het reguliere basisonderwijs is bedoeld voor kinderen van 4-12 jaar.";;Double;aantal;0;Impossible
136;102;134;Topic;SpeciaalBasisonderwijs_101;Speciaal basisonderwijs;"Het onderwijs zoals opgenomen in de Wet primair onderwijs (WPO).
Het speciaal basisonderwijs is bedoeld voor kinderen die meer hulp behoeven bij de opvoeding en het leren dan het reguliere basisonderwijs kan bieden. Vergeleken met scholen voor basisonderwijs hebben scholen voor speciaal basisonderwijs kleinere groepen leerlingen en beschikken ze over meer deskundigen om de leerlingen met leer- en gedragsproblemen te begeleiden.";;Double;aantal;0;Impossible
137;103;134;Topic;SpecialeScholen_102;Speciale scholen;"Speciale scholen zijn bedoeld voor basis- en voortgezet onderwijs aan zeer moeilijk lerende of opvoedbare kinderen, dove en slechthorende kinderen, visueel gehandicapte kinderen en langdurig zieken. 
De leerlingen kunnen op deze scholen blijven totdat ze 20 jaar zijn.";;Double;aantal;0;Impossible
138;;132;TopicGroup;;Naar woongemeente;"Een woongemeente beschrijft de groep leerlingen en studenten die op 1 oktober van het schooljaar of studiejaar in de betreffende gemeente dan wel regio woont. Van sommige leerlingen of studenten is de woongemeente onbekend. 
Zij zijn dan wel opgenomen in het nationale totaal maar niet bij de onderliggende regionale niveaus.";;;;;
139;;138;TopicGroup;;Leerlingen/studenten;"Het aantal leerlingen/studenten op instellingen waar het voortgezet onderwijs, middelbaar beroepsonderwijs en hoger onderwijs door de overheid bekostigd is (regulier onderwijs) die op 1 oktober van het school- of studiejaar in de betreffende gemeente dan wel regio wonen.
Niet van elke leerling/student is bekend wat de woongemeente is.
In het nationale totaal zit bij elke onderwijssoort een groep leerlingen/ studenten waarvan de woongemeente niet bekend is.
Deze groep is < 0,8% bij het voortgezet onderwijs, < 0,5% bij de beroepsopleidende leerweg, < 1,3% bij de beroepsbegeleidende leerweg, < 7% bij het hoger beroepsonderwijs en < 4% bij het wetenschappelijk onderwijs en ontbreekt dus bij de onderliggende regionale niveaus.";;;;;
140;104;139;Topic;VoortgezetOnderwijs_103;Voortgezet onderwijs;"Het onderwijs zoals opgenomen in de Wet op het voortgezet onderwijs (WVO) behalve het praktijkonderwijs. 
De WVO omvat de volgende onderwijssoorten: vwo, havo, vmbo (met en zonder indicatie voor leerwegondersteuning) en praktijkonderwijs.
In 2003 en 2004 is het vmbo behalve het agrarisch onderwijs dat wordt bekostigd door het Ministerie van LNV.
Pas vanaf 2007 is het aantal leerlingen naar woongemeente in het praktijkonderwijs bekend.";;Double;aantal;0;Impossible
141;105;139;Topic;BeroepsopleidendeLeerweg_104;Beroepsopleidende leerweg;"Een van de twee manieren waarop een mbo-opleiding in het kader van de WEB (Wet Educatie en Beroepsopleiding) kan worden gevolgd. 
Hierbij wordt 20 tot 60 procent van de totale opleidingsduur besteed aan een stage in de praktijk van een bedrijf of instelling. De opleidingen kunnen als voltijd- en/of als deeltijdonderwijs worden aangeboden. 
Het betreft hier vol- én deeltijdonderwijs.";;Double;aantal;0;Impossible
142;106;139;Topic;BeroepsbegeleidendeLeerweg_105;Beroepsbegeleidende leerweg;"Een van de twee manieren waarop een mbo-opleiding in het kader van de WEB (Wet Educatie en Beroepsopleiding) kan worden gevolgd. Bij deze leerweg wordt meer dan 60 procent van de totale opleidingsduur besteed aan beroepspraktijkvorming (stages bij een bedrijf of instelling). De bbl is uitsluitend toegankelijk voor personen van 16 jaar en ouder. 
Deze leerweg is te vergelijken met het vroegere leerlingwezen.";;Double;aantal;0;Impossible
143;107;139;Topic;HogerBeroepsonderwijs_106;Hoger beroepsonderwijs;"Het onderwijs zoals opgenomen in de Wet op het hoger onderwijs en wetenschappelijk onderzoek (WHW).
Het betreft hier voltijdonderwijs, deeltijdonderwijs en duaal onderwijs.";;Double;aantal;0;Impossible
144;108;139;Topic;WetenschappelijkOnderwijs_107;Wetenschappelijk onderwijs;"Het betreft hier vol-, deeltijd- en duaal onderwijs.
---
De theologische universiteiten, de Universiteit voor Humanistiek, de transnationale Universiteit Limburg, de Universiteit van Nijenrode en de Open Universiteit zijn niet opgenomen.";;Double;aantal;0;Impossible
145;;138;TopicGroup;;Gediplomeerden;Mensen die met goed gevolg een afsluitend examen voor een bepaalde onderwijssoort hebben afgelegd.;;;;;
146;109;145;Topic;VoortgezetOnderwijs_108;Voortgezet onderwijs;"Het voortgezet onderwijs bij de geslaagden omvat vwo, havo, vmbo inclusief vanaf 2005 de vmbo-afdelingen van de Agrarische Opleidingscentra (AOC), leerwegondersteunend onderwijs (lwoo).
Het voortgezet algemeen volwassenenonderwijs (vavo), het praktijk- onderwijs, de Engelse Stroom (onder havo) en het Internationaal Baccalaureaat (onder vwo) zijn buiten beschouwing gelaten.";;Double;aantal;0;Impossible
147;110;145;Topic;MiddelbaarBeroepsonderwijs_109;Middelbaar beroepsonderwijs;"Het middelbaar beroepsonderwijs (mbo) omvat de beroepsopleidende leerweg (bol) en de beroepsbegeleidende leerweg (bbl) zoals opgenomen in de Wet educatie en beroepsonderwijs (WEB) plus de extranei (personen die geen onderwijs volgen maar slechts ingeschreven staan voor een examen).
Het betreft hier vol- én deeltijdonderwijs.";;Double;aantal;0;Impossible
148;111;145;Topic;HogerBeroepsonderwijsBachelor_110;Hoger beroepsonderwijs bachelor;"Een hoger beroepsonderwijs bachelor is iemand die een studie in het hoger beroepsonderwijs (hbo) succesvol heeft afgerond.
Een bachelordiploma geeft toegang tot een masteropleiding in het hbo.
De bachelorgraad werd ingevoerd bij de introductie van het zogeheten bachelor-masterstelsel in het hoger onderwijs in 2002/'03.
Degenen die vóór 2002/'03 voor een hbo-studie zijn geslaagd, worden ook tot de bachelors gerekend.
Voor toelating tot een masteropleiding aan een universiteit moet een gediplomeerde hbo'er vrijwel altijd eerst een schakelprogramma volgen.";;Double;aantal;0;Impossible
149;112;145;Topic;WoMasterDoctoraal_111;Wo master/doctoraal;"Een masteropleiding in het wetenschappelijk onderwijs (wo) is sinds het studiejaar 2002/'03 de tweede fase van een universitaire studie. 
Een masteropleiding duurt meestal 1-2 jaren. Om toegang te krijgen tot een wo-master is een diploma van een bacheloropleiding vereist.
Voordat in 2002/'03 het bachelor-masterstelsel in het hoger onderwijs werd ingevoerd, sprak men bij het wo over geslaagden voor een doctoraalopleiding.
Omdat de doctoraal- en masteropleidingen een vrijwel vergelijkbaar opleidingsniveau garanderen, kunnen de geslaagden daarvan bij elkaar worden geteld.
De masterdiploma's voor de beroepsopleidingen geneeskunde,
diergeneeskunde, tandheelkunde, farmacie of accountancy en alle universitaire lerarenopleidingen behoren tot de vervolgopleidingen en zijn in deze tabel niet meegeteld.";;Double;aantal;0;Impossible
150;;;TopicGroup;;Arbeid;"Banen van werknemers bij bedrijven en instellingen.
Een baan is een werkkring van een werknemer. Als iemand meer dan één werkkring heeft, telt elke werkkring als een afzonderlijke baan.
Onder een werknemer wordt verstaan iemand die arbeid verricht op basis van loon of salaris.";;;;;
